symbol,date,open,close,high,low,volume,max(highs),max(highs)-open,,min(lows),min(lows)-open,
AAPL,22/06/2022 20:15,136.038,136.28,136.326,135.962,491942,,,,,,
AAPL,22/06/2022 20:20,136.29,136.35,136.4,136.22,437758,,,,,,
AAPL,22/06/2022 20:25,136.335,136.37,136.45,136.24,456302,,,,,,
AAPL,22/06/2022 20:30,136.378,136.16,136.39,136.16,411294,,,,,,
AAPL,22/06/2022 20:35,136.165,136.31,136.368,136.09,402330,,,,,,
AAPL,22/06/2022 20:40,136.305,136.34,136.35,136.18,322998,,,,,,
AAPL,22/06/2022 20:45,136.365,136.34,136.385,136.25,860035,,,,,,
AAPL,22/06/2022 20:50,136.31,136.12,136.37,136.06,541677,,,,,,
AAPL,22/06/2022 20:55,136.11,136.065,136.23,135.93,992732,,,,,,
AAPL,22/06/2022 21:00,136.07,136.18,136.295,136.04,427989,,,,,,
AAPL,22/06/2022 21:05,136.2,136.72,136.731,136.16,804163,,,,,,
AAPL,22/06/2022 21:10,136.71,136.75,136.75,136.6,417358,,,,,,
AAPL,22/06/2022 21:15,136.77,136.92,136.92,136.67,171750,,,,,,
AAPL,22/06/2022 21:20,136.915,136.715,136.97,136.518,675547,,,,,,
AAPL,22/06/2022 21:25,136.71,136.49,136.75,136.46,373468,,,,,,
AAPL,22/06/2022 21:30,136.515,136.605,136.605,136.465,336639,,,,,,
AAPL,22/06/2022 21:35,136.6,136.41,136.681,136.38,529196,,,,,,
AAPL,22/06/2022 21:40,136.38,136.44,136.54,136.27,1088211,,,,,,
AAPL,22/06/2022 21:45,136.43,136.22,136.57,136.22,441053,,,,,,
AAPL,22/06/2022 21:50,136.21,136.35,136.38,136.17,374554,,,,,,
AAPL,22/06/2022 21:55,136.355,136.46,136.54,136.34,459748,,,,,,
AAPL,22/06/2022 22:00,136.455,136.545,136.63,136.23,585113,,,,,,
AAPL,22/06/2022 22:05,136.56,136.281,136.64,136.24,491880,,,,,,
AAPL,22/06/2022 22:10,136.28,136.38,136.4,136.067,519070,,,,,,
AAPL,22/06/2022 22:15,136.375,136.15,136.45,136.11,450220,,,,,,
AAPL,22/06/2022 22:20,136.14,136.285,136.33,136.11,423156,,,,,,
AAPL,22/06/2022 22:25,136.26,135.876,136.29,135.74,885813,,,,,,
AAPL,22/06/2022 22:30,135.87,135.59,135.95,135.583,663342,,,,,,
AAPL,22/06/2022 22:35,135.6,135.49,135.63,135.37,762913,,,,,,
AAPL,22/06/2022 22:40,135.46,135.33,135.47,135.19,827580,,,,,,
AAPL,22/06/2022 22:45,135.32,135.2,135.321,135.031,800767,,,,,,
AAPL,22/06/2022 22:50,135.01,135.78,135.82,135.01,1462886,,,,,,
AAPL,22/06/2022 22:55,135.82,135.3,135.915,135.23,2383258,,,,,,
AAPL,22/06/2022 23:00,135.31,135.27,136.515,135.01,8228400,,,,,,
AAPL,22/06/2022 23:05,135.26,135.16,135.35,135.1,804757,,,,,,
AAPL,22/06/2022 23:10,135.163,135.31,135.35,135.16,335260,,,,,,
AAPL,22/06/2022 23:15,135.27,135.2,135.31,135.17,14538,,,,,,
AAPL,22/06/2022 23:20,135.22,135.29,135.29,135.17,16180,,,,,,
AAPL,22/06/2022 23:25,135.28,135.26,135.35,135.21,260347,,,,,,
AAPL,22/06/2022 23:30,135.21,135.195,135.25,135.01,18222,,,,,,
AAPL,22/06/2022 23:35,135.214,135.18,135.214,135.1,2305,,,,,,
AAPL,22/06/2022 23:40,135.14,135.145,135.94,135.11,10227,,,,,,
AAPL,22/06/2022 23:45,135.17,135.13,135.17,135.1,3050,,,,,,
