date,symbol,open,high,low,close,diff close-open,percentage,daily pnl%,daily %,buy&hold
15/06/2022,AAPL,134.29,137.34,132.16,135.43,1.14,0.008489091,1.776435765,0.015080325,1.79151609
16/06/2022,AAPL,132.08,132.39,129.04,130.06,-2.02,-0.015293761,1.79151609,-0.027399019,1.764117071
17/06/2022,AAPL,130.065,133.079,129.81,131.56,1.495,0.011494253,1.764117071,0.020277208,1.784394279
21/06/2022,AAPL,133.42,137.06,133.32,135.87,2.45,0.018363064,1.784394279,0.032766946,1.817161225
22/06/2022,AAPL,134.79,137.76,133.91,135.35,0.56,0.004154611,1.817161225,0.007549598,1.824710823
23/06/2022,AAPL,136.82,138.59,135.63,138.27,1.45,0.010597866,1.824710823,0.019338041,1.844048864
24/06/2022,AAPL,139.9,141.91,139.77,141.66,1.76,0.012580415,1.844048864,0.0231989,1.867247764
27/06/2022,AAPL,142.695,143.49,140.965,141.66,-1.035,-0.007253232,1.867247764,-0.013543581,1.853704183
28/06/2022,AAPL,142.13,143.422,137.325,137.44,-4.69,-0.03299796,1.853704183,-0.061168456,1.792535726
29/06/2022,AAPL,137.46,140.67,136.67,139.23,1.77,0.012876473,1.792535726,0.023081538,1.815617264
30/06/2022,AAPL,137.25,138.37,133.7737,136.72,-0.53,-0.003861566,1.815617264,-0.007011126,1.808606138
01/07/2022,AAPL,136.04,139.04,135.66,138.93,2.89,0.021243752,1.808606138,0.03842158,1.847027719
05/07/2022,AAPL,137.77,141.61,136.93,141.56,3.79,0.027509617,1.847027719,0.050811025,1.897838744
06/07/2022,AAPL,141.355,144.12,141.08,142.92,1.565,0.011071416,1.897838744,0.021011762,1.918850506
07/07/2022,AAPL,143.29,146.55,143.28,146.35,3.06,0.021355293,1.918850506,0.040977615,1.959828121
08/07/2022,AAPL,145.265,147.55,145,147.04,1.775,0.012219048,1.959828121,0.023947234,1.983775355
11/07/2022,AAPL,145.67,146.64,143.78,144.87,-0.8,-0.005491865,1.983775355,-0.010894626,1.972880728
12/07/2022,AAPL,145.76,148.45,145.05,145.86,0.1,0.000686059,1.972880728,0.001353513,1.974234241
13/07/2022,AAPL,142.99,146.45,142.1201,145.49,2.5,0.01748374,1.974234241,0.034516998,2.008751239
14/07/2022,AAPL,144.08,148.95,143.25,148.47,4.39,0.030469184,2.008751239,0.061205011,2.06995625
15/07/2022,AAPL,149.78,150.86,148.2,150.17,0.39,0.002603819,2.06995625,0.005389791,2.075346041
18/07/2022,AAPL,150.74,151.57,146.7,147.07,-3.67,-0.024346557,2.075346041,-0.050527531,2.024818511
19/07/2022,AAPL,147.92,151.23,146.91,151,3.08,0.020822066,2.024818511,0.042160905,2.066979415
20/07/2022,AAPL,151.12,153.72,150.37,153.04,1.92,0.012705135,2.066979415,0.026261253,2.093240668
21/07/2022,AAPL,154.5,155.57,151.94,155.35,0.85,0.005501618,2.093240668,0.011516211,2.104756878
22/07/2022,AAPL,155.39,156.28,153.41,154.09,-1.3,-0.008366047,2.104756878,-0.017608495,2.087148384
25/07/2022,AAPL,154.01,155.04,152.28,152.95,-1.06,-0.00688267,2.087148384,-0.014365154,2.07278323
26/07/2022,AAPL,152.265,153.085,150.8,151.6,-0.665,-0.004367386,2.07278323,-0.009052644,2.063730585
27/07/2022,AAPL,152.58,157.33,152.16,156.79,4.21,0.027592083,2.063730585,0.056942626,2.120673211
28/07/2022,AAPL,156.98,157.64,154.41,157.35,0.37,0.002356988,2.120673211,0.004998401,2.125671612
29/07/2022,AAPL,161.24,163.63,159.5,162.51,1.27,0.007876457,2.125671612,0.016742761,2.142414373
01/08/2022,AAPL,161.01,163.59,160.89,161.51,0.5,0.003105397,2.142414373,0.006653047,2.149067421
02/08/2022,AAPL,160.1,162.41,159.63,160.01,-0.09,-0.000562149,2.149067421,-0.001208096,2.147859325
03/08/2022,AAPL,160.84,166.59,160.75,166.13,5.29,0.032889828,2.147859325,0.070642724,2.218502048
04/08/2022,AAPL,166.005,167.19,164.43,165.81,-0.195,-0.001174663,2.218502048,-0.002605992,2.215896056
05/08/2022,AAPL,163.21,165.85,163,165.35,2.14,0.013111942,2.215896056,0.029054701,2.244950757
08/08/2022,AAPL,166.37,167.81,164.2,164.87,-1.5,-0.009016049,2.244950757,-0.020240586,2.224710171
09/08/2022,AAPL,164.02,165.82,163.25,164.92,0.9,0.005487136,2.224710171,0.012207287,2.236917458
10/08/2022,AAPL,167.68,169.34,166.9,169.24,1.56,0.009303435,2.236917458,0.020811016,2.257728474
11/08/2022,AAPL,170.06,170.99,168.19,168.49,-1.57,-0.009232036,2.257728474,-0.020843431,2.236885043
12/08/2022,AAPL,169.82,172.17,169.4,172.1,2.28,0.01342598,2.236885043,0.030032374,2.266917417
15/08/2022,AAPL,171.52,173.39,171.345,173.19,1.67,0.009736474,2.266917417,0.022071782,2.2889892
16/08/2022,AAPL,172.78,173.71,171.6618,173.03,0.25,0.001446927,2.2889892,0.003312,2.2923012
17/08/2022,AAPL,172.77,176.15,172.57,174.55,1.78,0.010302715,2.2923012,0.023616926,2.315918126
18/08/2022,AAPL,173.75,174.9,173.12,174.15,0.4,0.002302158,2.315918126,0.005331609,2.321249735
19/08/2022,AAPL,173.03,173.74,171.3101,171.52,-1.51,-0.00872681,2.321249735,-0.020257105,2.30099263
22/08/2022,AAPL,169.69,169.86,167.135,167.57,-2.12,-0.01249337,2.30099263,-0.028747152,2.272245478
23/08/2022,AAPL,167.08,168.71,166.65,167.23,0.15,0.000897774,2.272245478,0.002039963,2.274285441
24/08/2022,AAPL,167.32,168.11,166.245,167.53,0.21,0.00125508,2.274285441,0.00285441,2.277139851
25/08/2022,AAPL,168.78,170.14,168.35,170.03,1.25,0.007406091,2.277139851,0.016864705,2.294004556
26/08/2022,AAPL,170.57,171.05,163.56,163.62,-6.95,-0.040745735,2.294004556,-0.093470902,2.200533654
29/08/2022,AAPL,161.145,162.9,159.82,161.38,0.235,0.001458314,2.200533654,0.003209069,2.203742723
30/08/2022,AAPL,162.13,162.56,157.72,158.91,-3.22,-0.019860606,2.203742723,-0.043767666,2.159975057
31/08/2022,AAPL,160.305,160.58,157.14,157.22,-3.085,-0.019244565,2.159975057,-0.04156778,2.118407277
01/09/2022,AAPL,156.64,158.42,154.67,157.96,1.32,0.008426966,2.118407277,0.017851746,2.136259023
02/09/2022,AAPL,159.75,160.362,154.965,155.81,-3.94,-0.024663537,2.136259023,-0.052687703,2.083571319
06/09/2022,AAPL,156.47,157.09,153.69,154.53,-1.94,-0.012398543,2.083571319,-0.025833249,2.057738071
07/09/2022,AAPL,154.825,156.67,153.61,155.96,1.135,0.007330857,2.057738071,0.015084984,2.072823054
08/09/2022,AAPL,154.64,156.36,152.68,154.46,-0.18,-0.001163994,2.072823054,-0.002412754,2.070410301
09/09/2022,AAPL,155.47,157.82,154.75,157.37,1.9,0.012221007,2.070410301,0.025302499,2.0957128
12/09/2022,AAPL,159.59,164.26,159.3,163.43,3.84,0.024061658,2.0957128,0.050426325,2.146139124
13/09/2022,AAPL,159.9,160.54,153.37,153.84,-6.06,-0.037898687,2.146139124,-0.081335855,2.064803269
14/09/2022,AAPL,154.785,157.1,153.6106,155.31,0.525,0.003391802,2.064803269,0.007003404,2.071806673
15/09/2022,AAPL,154.65,155.24,151.38,152.37,-2.28,-0.014742968,2.071806673,-0.030544579,2.041262094
16/09/2022,AAPL,151.21,151.35,148.37,150.7,-0.51,-0.003372793,2.041262094,-0.006884755,2.034377339
19/09/2022,AAPL,149.31,154.56,149.1,154.48,5.17,0.034625946,2.034377339,0.07044224,2.104819579
20/09/2022,AAPL,153.4,158.08,153.08,156.9,3.5,0.022816167,2.104819579,0.048023915,2.152843494
21/09/2022,AAPL,157.34,158.74,153.6,153.72,-3.62,-0.0230075,2.152843494,-0.049531547,2.103311947
22/09/2022,AAPL,152.38,154.47,150.91,152.74,0.36,0.002362515,2.103311947,0.004969106,2.108281053
23/09/2022,AAPL,151.19,151.47,148.56,150.43,-0.76,-0.005026787,2.108281053,-0.01059788,2.097683174
26/09/2022,AAPL,149.66,153.7701,149.64,150.77,1.11,0.007416811,2.097683174,0.01555812,2.113241293
27/09/2022,AAPL,152.74,154.72,149.945,151.76,-0.98,-0.006416132,2.113241293,-0.013558835,2.099682458
28/09/2022,AAPL,147.64,150.6414,144.84,149.84,2.2,0.014901111,2.099682458,0.031287601,2.13097006
29/09/2022,AAPL,146.1,146.72,140.68,142.48,-3.62,-0.02477755,2.13097006,-0.052800217,2.078169842
30/09/2022,AAPL,141.28,143.1,138,138.2,-3.08,-0.02180068,2.078169842,-0.045305516,2.032864327
03/10/2022,AAPL,138.21,143.07,137.685,142.45,4.24,0.030677954,2.032864327,0.062364118,2.095228445
04/10/2022,AAPL,145.03,146.22,144.26,146.1,1.07,0.007377784,2.095228445,0.015458143,2.110686588
05/10/2022,AAPL,144.075,147.38,143.01,146.4,2.325,0.016137428,2.110686588,0.034061053,2.144747641
06/10/2022,AAPL,145.81,147.54,145.22,145.43,-0.38,-0.002606131,2.144747641,-0.005589493,2.139158147
07/10/2022,AAPL,142.54,143.1,139.445,140.09,-2.45,-0.017188158,2.139158147,-0.036768188,2.102389959
10/10/2022,AAPL,140.42,141.89,138.5729,140.42,0,0,2.102389959,0,2.102389959
11/10/2022,AAPL,139.9,141.35,138.22,138.98,-0.92,-0.006576126,2.102389959,-0.013825581,2.088564378
12/10/2022,AAPL,139.13,140.36,138.16,138.34,-0.79,-0.005678143,2.088564378,-0.011859167,2.076705211
13/10/2022,AAPL,134.99,143.59,134.37,142.99,8,0.059263649,2.076705211,0.123073129,2.199778339
14/10/2022,AAPL,144.31,144.52,138.19,138.38,-5.93,-0.041092093,2.199778339,-0.090393496,2.109384843
17/10/2022,AAPL,141.065,142.9,140.27,142.41,1.345,0.009534612,2.109384843,0.020112166,2.129497009
18/10/2022,AAPL,145.49,146.7,140.61,143.75,-1.74,-0.011959585,2.129497009,-0.0254679,2.104029109
19/10/2022,AAPL,141.69,144.9492,141.5,143.86,2.17,0.015315125,2.104029109,0.032223469,2.136252578
20/10/2022,AAPL,143.02,145.89,142.65,143.39,0.37,0.002587051,2.136252578,0.005526594,2.141779172
21/10/2022,AAPL,142.87,147.8479,142.649,147.27,4.4,0.030797228,2.141779172,0.065960861,2.207740033
24/10/2022,AAPL,147.185,150.23,146,149.45,2.265,0.015388796,2.207740033,0.033974461,2.241714494
25/10/2022,AAPL,150.09,152.49,149.36,152.34,2.25,0.014991005,2.241714494,0.033605553,2.275320048
26/10/2022,AAPL,150.96,151.99,148.04,149.35,-1.61,-0.010665077,2.275320048,-0.024266464,2.251053584
27/10/2022,AAPL,148.07,149.046,144.13,144.8,-3.27,-0.022084149,2.251053584,-0.049712603,2.201340981
28/10/2022,AAPL,148.2,157.5,147.82,155.74,7.54,0.050877193,2.201340981,0.11199805,2.313339031
31/10/2022,AAPL,153.155,154.24,151.92,153.34,0.185,0.001207927,2.313339031,0.002794345,2.316133376
01/11/2022,AAPL,155.08,155.45,149.13,150.65,-4.43,-0.028565901,2.316133376,-0.066162437,2.249970939
02/11/2022,AAPL,148.945,152.17,145,145.03,-3.915,-0.02628487,2.249970939,-0.059140194,2.190830746
03/11/2022,AAPL,142.06,142.8,138.75,138.88,-3.18,-0.022384908,2.190830746,-0.049041545,2.141789201
04/11/2022,AAPL,142.09,142.67,134.38,138.38,-3.71,-0.026110212,2.141789201,-0.05592257,2.085866631
07/11/2022,AAPL,137.11,139.145,135.671,138.92,1.81,0.013201079,2.085866631,0.02753569,2.113402321
08/11/2022,AAPL,140.41,141.43,137.49,139.5,-0.91,-0.00648102,2.113402321,-0.013697003,2.099705318
09/11/2022,AAPL,138.5,138.55,134.5933,134.87,-3.63,-0.026209386,2.099705318,-0.055031987,2.044673331
10/11/2022,AAPL,141.24,146.87,139.5,146.87,5.63,0.039861229,2.044673331,0.081503192,2.126176523
11/11/2022,AAPL,145.82,150.01,144.37,149.7,3.88,0.026608147,2.126176523,0.056573617,2.18275014
14/11/2022,AAPL,148.97,150.28,147.43,148.28,-0.69,-0.004631805,2.18275014,-0.010110073,2.172640067
15/11/2022,AAPL,152.215,153.59,148.5613,150.04,-2.175,-0.014288999,2.172640067,-0.031044852,2.141595216
16/11/2022,AAPL,149.13,149.87,147.29,148.79,-0.34,-0.00227989,2.141595216,-0.004882602,2.136712614
17/11/2022,AAPL,146.43,151.48,146.15,150.72,4.29,0.029297275,2.136712614,0.062599857,2.199312471
