date,symbol,open,high,low,close
19/11/2021,AAPL,157.65,161.02,156.5328,160.55
22/11/2021,AAPL,161.68,165.7,161,161.02
23/11/2021,AAPL,161.12,161.8,159.0601,161.41
24/11/2021,AAPL,160.75,162.14,159.64,161.94
26/11/2021,AAPL,159.565,160.45,156.36,156.81
29/11/2021,AAPL,159.37,161.19,158.7901,160.24
30/11/2021,AAPL,159.985,165.52,159.92,165.3
01/12/2021,AAPL,167.48,170.3,164.53,164.77
02/12/2021,AAPL,158.735,164.2,157.8,163.76
03/12/2021,AAPL,164.02,164.96,159.72,161.84
06/12/2021,AAPL,164.29,167.8799,164.28,165.32
07/12/2021,AAPL,169.08,171.58,168.34,171.18
08/12/2021,AAPL,172.125,175.96,170.7,175.08
09/12/2021,AAPL,174.91,176.75,173.92,174.56
10/12/2021,AAPL,175.205,179.63,174.69,179.45
13/12/2021,AAPL,181.115,182.13,175.53,175.74
14/12/2021,AAPL,175.25,177.74,172.21,174.33
15/12/2021,AAPL,175.11,179.5,172.3108,179.3
16/12/2021,AAPL,179.28,181.14,170.75,172.26
17/12/2021,AAPL,169.93,173.47,169.69,171.14
20/12/2021,AAPL,168.28,170.58,167.46,169.75
21/12/2021,AAPL,171.555,173.2,169.12,172.99
22/12/2021,AAPL,173.04,175.86,172.15,175.64
23/12/2021,AAPL,175.85,176.8499,175.27,176.28
27/12/2021,AAPL,177.085,180.42,177.07,180.33
28/12/2021,AAPL,180.16,181.33,178.53,179.29
29/12/2021,AAPL,179.33,180.63,178.14,179.38
30/12/2021,AAPL,179.47,180.57,178.09,178.2
31/12/2021,AAPL,178.085,179.23,177.26,177.57
03/01/2022,AAPL,177.83,182.88,177.71,182.01
04/01/2022,AAPL,182.63,182.94,179.12,179.7
05/01/2022,AAPL,179.61,180.17,174.64,174.92
06/01/2022,AAPL,172.7,175.3,171.64,172
07/01/2022,AAPL,172.89,174.14,171.03,172.17
10/01/2022,AAPL,169.08,172.5,168.17,172.19
11/01/2022,AAPL,172.32,175.18,170.82,175.08
12/01/2022,AAPL,176.12,177.18,174.82,175.53
13/01/2022,AAPL,175.78,176.62,171.79,172.19
14/01/2022,AAPL,171.34,173.78,171.09,173.07
18/01/2022,AAPL,171.51,172.54,169.405,169.8
19/01/2022,AAPL,170,171.08,165.94,166.23
20/01/2022,AAPL,166.98,169.68,164.18,164.51
21/01/2022,AAPL,164.415,166.33,162.3,162.41
24/01/2022,AAPL,160.02,162.3,154.7,161.62
25/01/2022,AAPL,158.98,162.76,157.02,159.78
26/01/2022,AAPL,163.5,164.3894,157.82,159.69
27/01/2022,AAPL,162.45,163.84,158.28,159.22
28/01/2022,AAPL,165.71,170.35,162.8,170.33
31/01/2022,AAPL,170.16,175,169.51,174.78
01/02/2022,AAPL,174.01,174.84,172.31,174.61
02/02/2022,AAPL,174.745,175.88,173.33,175.84
03/02/2022,AAPL,174.48,176.2399,172.12,172.9
04/02/2022,AAPL,171.68,174.1,170.68,172.39
07/02/2022,AAPL,172.86,173.9458,170.95,171.66
08/02/2022,AAPL,171.73,175.35,171.43,174.83
09/02/2022,AAPL,176.05,176.65,174.9,176.28
10/02/2022,AAPL,174.14,175.48,171.55,172.12
11/02/2022,AAPL,172.33,173.08,168.04,168.64
14/02/2022,AAPL,167.37,169.58,166.56,168.88
15/02/2022,AAPL,170.97,172.95,170.25,172.79
16/02/2022,AAPL,171.85,173.34,170.05,172.55
17/02/2022,AAPL,171.03,171.91,168.47,168.88
18/02/2022,AAPL,169.82,170.5413,166.19,167.3
22/02/2022,AAPL,164.98,166.69,162.15,164.32
23/02/2022,AAPL,165.54,166.15,159.75,160.07
24/02/2022,AAPL,152.58,162.85,152,162.74
25/02/2022,AAPL,163.84,165.12,160.8738,164.85
28/02/2022,AAPL,163.06,165.42,162.43,165.12
01/03/2022,AAPL,164.695,166.6,161.97,163.2
02/03/2022,AAPL,164.39,167.36,162.95,166.56
03/03/2022,AAPL,168.47,168.91,165.55,166.23
04/03/2022,AAPL,164.49,165.55,162.1,163.17
07/03/2022,AAPL,163.36,165.02,159.04,159.3
08/03/2022,AAPL,158.82,162.88,155.8,157.44
09/03/2022,AAPL,161.475,163.41,159.41,162.95
10/03/2022,AAPL,160.2,160.39,155.98,158.52
11/03/2022,AAPL,158.93,159.28,154.5,154.73
14/03/2022,AAPL,151.45,154.12,150.1,150.62
15/03/2022,AAPL,150.9,155.57,150.38,155.09
16/03/2022,AAPL,157.05,160,154.46,159.59
17/03/2022,AAPL,158.61,161,157.63,160.62
18/03/2022,AAPL,160.51,164.48,159.76,163.98
21/03/2022,AAPL,163.51,166.35,163.015,165.38
22/03/2022,AAPL,165.51,169.42,164.91,168.82
23/03/2022,AAPL,167.99,172.64,167.65,170.21
24/03/2022,AAPL,171.06,174.14,170.21,174.07
25/03/2022,AAPL,173.88,175.28,172.75,174.72
28/03/2022,AAPL,172.17,175.73,172,175.6
29/03/2022,AAPL,176.69,179.01,176.34,178.96
30/03/2022,AAPL,178.55,179.61,176.7,177.77
31/03/2022,AAPL,177.84,178.03,174.4,174.61
01/04/2022,AAPL,174.03,174.88,171.94,174.31
04/04/2022,AAPL,174.57,178.49,174.44,178.44
05/04/2022,AAPL,177.5,178.3,174.415,175.06
06/04/2022,AAPL,172.36,173.63,170.13,171.83
07/04/2022,AAPL,171.16,173.36,169.85,172.14
08/04/2022,AAPL,171.78,171.78,169.2,170.09
11/04/2022,AAPL,168.71,169.03,165.5,165.75
12/04/2022,AAPL,168.02,169.87,166.64,167.66
13/04/2022,AAPL,167.39,171.04,166.77,170.4
14/04/2022,AAPL,170.62,171.27,165.04,165.29
18/04/2022,AAPL,163.92,166.5984,163.57,165.07
19/04/2022,AAPL,165.02,167.82,163.91,167.4
20/04/2022,AAPL,168.76,168.88,166.1,167.23
21/04/2022,AAPL,168.91,171.53,165.91,166.42
22/04/2022,AAPL,166.46,167.8699,161.5,161.79
25/04/2022,AAPL,161.12,163.17,158.46,162.88
26/04/2022,AAPL,162.25,162.34,156.72,156.8
27/04/2022,AAPL,155.91,159.79,155.38,156.57
28/04/2022,AAPL,159.25,164.515,158.93,163.64
29/04/2022,AAPL,161.84,166.2,157.25,157.65
02/05/2022,AAPL,156.71,158.23,153.27,157.96
03/05/2022,AAPL,158.15,160.71,156.32,159.48
04/05/2022,AAPL,159.67,166.48,159.26,166.02
05/05/2022,AAPL,163.85,164.08,154.95,156.77
06/05/2022,AAPL,156.01,159.44,154.18,157.28
09/05/2022,AAPL,154.925,155.83,151.49,152.06
10/05/2022,AAPL,155.52,156.74,152.93,154.51
11/05/2022,AAPL,153.5,155.45,145.81,146.5
12/05/2022,AAPL,142.77,146.2,138.8,142.56
13/05/2022,AAPL,144.59,148.105,143.11,147.11
16/05/2022,AAPL,145.55,147.5199,144.18,145.54
17/05/2022,AAPL,148.86,149.77,146.68,149.24
18/05/2022,AAPL,146.85,147.3601,139.9,140.82
19/05/2022,AAPL,139.88,141.66,136.6,137.35
20/05/2022,AAPL,139.09,140.7,132.61,137.59
23/05/2022,AAPL,137.79,143.26,137.65,143.11
24/05/2022,AAPL,140.805,141.97,137.33,140.36
25/05/2022,AAPL,138.43,141.785,138.34,140.52
26/05/2022,AAPL,137.39,144.34,137.14,143.78
27/05/2022,AAPL,145.39,149.68,145.26,149.64
31/05/2022,AAPL,149.07,150.66,146.84,148.84
01/06/2022,AAPL,149.9,151.74,147.68,148.71
02/06/2022,AAPL,147.83,151.27,146.86,151.21
03/06/2022,AAPL,146.9,147.97,144.46,145.38
06/06/2022,AAPL,147.03,148.5689,144.9,146.14
07/06/2022,AAPL,144.345,149,144.1,148.71
08/06/2022,AAPL,148.58,149.8697,147.46,147.96
09/06/2022,AAPL,147.08,147.95,142.53,142.64
10/06/2022,AAPL,140.28,140.76,137.06,137.13
13/06/2022,AAPL,132.87,135.2,131.44,131.88
14/06/2022,AAPL,133.13,133.89,131.48,132.76
15/06/2022,AAPL,134.29,137.34,132.16,135.43
16/06/2022,AAPL,132.08,132.39,129.04,130.06
17/06/2022,AAPL,130.065,133.079,129.81,131.56
21/06/2022,AAPL,133.42,137.06,133.32,135.87
22/06/2022,AAPL,134.79,137.76,133.91,135.35
23/06/2022,AAPL,136.82,138.59,135.63,138.27
24/06/2022,AAPL,139.9,141.91,139.77,141.66
27/06/2022,AAPL,142.695,143.49,140.965,141.66
28/06/2022,AAPL,142.13,143.422,137.325,137.44
29/06/2022,AAPL,137.46,140.67,136.67,139.23
30/06/2022,AAPL,137.25,138.37,133.7737,136.72
01/07/2022,AAPL,136.04,139.04,135.66,138.93
05/07/2022,AAPL,137.77,141.61,136.93,141.56
06/07/2022,AAPL,141.355,144.12,141.08,142.92
07/07/2022,AAPL,143.29,146.55,143.28,146.35
08/07/2022,AAPL,145.265,147.55,145,147.04
11/07/2022,AAPL,145.67,146.64,143.78,144.87
12/07/2022,AAPL,145.76,148.45,145.05,145.86
13/07/2022,AAPL,142.99,146.45,142.1201,145.49
14/07/2022,AAPL,144.08,148.95,143.25,148.47
15/07/2022,AAPL,149.78,150.86,148.2,150.17
18/07/2022,AAPL,150.74,151.57,146.7,147.07
19/07/2022,AAPL,147.92,151.23,146.91,151
20/07/2022,AAPL,151.12,153.72,150.37,153.04
21/07/2022,AAPL,154.5,155.57,151.94,155.35
22/07/2022,AAPL,155.39,156.28,153.41,154.09
25/07/2022,AAPL,154.01,155.04,152.28,152.95
26/07/2022,AAPL,152.265,153.085,150.8,151.6
27/07/2022,AAPL,152.58,157.33,152.16,156.79
28/07/2022,AAPL,156.98,157.64,154.41,157.35
29/07/2022,AAPL,161.24,163.63,159.5,162.51
01/08/2022,AAPL,161.01,163.59,160.89,161.51
02/08/2022,AAPL,160.1,162.41,159.63,160.01
03/08/2022,AAPL,160.84,166.59,160.75,166.13
04/08/2022,AAPL,166.005,167.19,164.43,165.81
05/08/2022,AAPL,163.21,165.85,163,165.35
08/08/2022,AAPL,166.37,167.81,164.2,164.87
09/08/2022,AAPL,164.02,165.82,163.25,164.92
10/08/2022,AAPL,167.68,169.34,166.9,169.24
11/08/2022,AAPL,170.06,170.99,168.19,168.49
12/08/2022,AAPL,169.82,172.17,169.4,172.1
15/08/2022,AAPL,171.52,173.39,171.345,173.19
16/08/2022,AAPL,172.78,173.71,171.6618,173.03
17/08/2022,AAPL,172.77,176.15,172.57,174.55
18/08/2022,AAPL,173.75,174.9,173.12,174.15
19/08/2022,AAPL,173.03,173.74,171.3101,171.52
22/08/2022,AAPL,169.69,169.86,167.135,167.57
23/08/2022,AAPL,167.08,168.71,166.65,167.23
24/08/2022,AAPL,167.32,168.11,166.245,167.53
25/08/2022,AAPL,168.78,170.14,168.35,170.03
26/08/2022,AAPL,170.57,171.05,163.56,163.62
29/08/2022,AAPL,161.145,162.9,159.82,161.38
30/08/2022,AAPL,162.13,162.56,157.72,158.91
31/08/2022,AAPL,160.305,160.58,157.14,157.22
01/09/2022,AAPL,156.64,158.42,154.67,157.96
02/09/2022,AAPL,159.75,160.362,154.965,155.81
06/09/2022,AAPL,156.47,157.09,153.69,154.53
07/09/2022,AAPL,154.825,156.67,153.61,155.96
08/09/2022,AAPL,154.64,156.36,152.68,154.46
09/09/2022,AAPL,155.47,157.82,154.75,157.37
12/09/2022,AAPL,159.59,164.26,159.3,163.43
13/09/2022,AAPL,159.9,160.54,153.37,153.84
14/09/2022,AAPL,154.785,157.1,153.6106,155.31
15/09/2022,AAPL,154.65,155.24,151.38,152.37
16/09/2022,AAPL,151.21,151.35,148.37,150.7
19/09/2022,AAPL,149.31,154.56,149.1,154.48
20/09/2022,AAPL,153.4,158.08,153.08,156.9
21/09/2022,AAPL,157.34,158.74,153.6,153.72
22/09/2022,AAPL,152.38,154.47,150.91,152.74
23/09/2022,AAPL,151.19,151.47,148.56,150.43
26/09/2022,AAPL,149.66,153.7701,149.64,150.77
27/09/2022,AAPL,152.74,154.72,149.945,151.76
28/09/2022,AAPL,147.64,150.6414,144.84,149.84
29/09/2022,AAPL,146.1,146.72,140.68,142.48
30/09/2022,AAPL,141.28,143.1,138,138.2
03/10/2022,AAPL,138.21,143.07,137.685,142.45
04/10/2022,AAPL,145.03,146.22,144.26,146.1
05/10/2022,AAPL,144.075,147.38,143.01,146.4
06/10/2022,AAPL,145.81,147.54,145.22,145.43
07/10/2022,AAPL,142.54,143.1,139.445,140.09
